Keyword_id,Faculty_id,Faculty_score
30527,80,1374.97
31984,80,422.466
36756,80,164.698
43865,80,328.26
47510,80,166.956
48979,80,139.982
4,81,134.883
22,81,69.7741
481,81,318.183
948,81,422.317
972,81,144.637
1731,81,545.243
3345,81,95.5232
3413,81,225.405
3829,81,282.585
4648,81,89.201
9507,81,103.054
9707,81,59.8387
9710,81,76.7514
10152,81,82.7622
17134,81,60.2058
19533,81,88.5937
29357,81,252.336
4,82,30.9938
99,82,9.8494
168,82,31.064
332,82,21.2403
462,82,5.55333
914,82,9.45435
1330,82,12.3712
1676,82,5.26214
2042,82,13.4568
4197,82,6.45044
8072,82,5.07839
8809,82,11.9642
15142,82,17.1902
24749,82,12.7903
24803,82,9.83324
70406,82,29.4043
78433,82,4.90784
2055,83,186.979
11002,83,65.9571
12176,83,45.3938
12368,83,43.1399
12753,83,44.3827
13107,83,297.972
13689,83,68.5562
22843,83,64.7943
23819,83,61.9409
28057,83,102.355
33291,83,51.1297
33603,83,172.178
35061,83,88.7709
46388,83,44.9879
47018,83,90.3512
56608,83,47.3387
62378,83,62.3491
2447,84,1.78005
6455,84,9.15058
7864,84,1.37055
9199,84,0.896062
11769,84,1.12763
12910,84,25.5094
15293,84,1.78594
15509,84,0.53023
19386,84,1.10466
24751,84,0.944562
27014,84,0.89268
32510,84,2.58676
35057,84,77.3856
40018,84,1.71286
43865,84,3.608
48979,84,8.57796
49154,84,1.12076
1076,85,112.42
2055,85,98.7357
4888,85,91.459
6288,85,84.2053
6354,85,182.375
9807,85,110.571
10364,85,145.467
12910,85,577.383
13000,85,632.291
13107,85,165.762
13689,85,191.585
19573,85,88.8687
25703,85,78.5008
40500,85,76.3617
41760,85,302.831
42641,85,550.245
75009,85,90.3071
559,86,56.1451
1291,86,67.1056
1833,86,26.2381
3063,86,89.4072
6354,86,32.6081
11586,86,61.1655
12910,86,191.055
13000,86,109.832
15007,86,21.0364
16127,86,47.5488
19573,86,95.7928
31397,86,37.5779
31612,86,73.4844
52551,86,59.0965
55267,86,27.2458
60692,86,23.8584
68562,86,24.352
1483,87,53.5446
3547,87,30.2817
4400,87,20.7953
7840,87,33.1987
8009,87,28.1401
8010,87,33.7454
12359,87,33.2583
13798,87,97.3389
19767,87,41.853
24430,87,81.2252
25702,87,37.7674
31497,87,42.2237
36727,87,68.0413
44683,87,32.989
45957,87,20.7052
62459,87,26.9144
70142,87,20.5223
122,88,0.0720167
1077,88,0.810603
1311,88,0.39164
2051,88,0.346036
2871,88,0.106408
3856,88,0.260066
4727,88,0.0734292
4878,88,0.713604
6918,88,0.142348
9042,88,0.093181
11398,88,0.187481
14491,88,0.427332
19201,88,0.505745
25345,88,0.122949
28372,88,0.423012
46625,88,0.422411
59785,88,0.422434
89,89,100.27
381,89,212.104
2697,89,155.001
3420,89,82.517
3631,89,143.919
3785,89,124.471
5723,89,113.062
12578,89,87.3025
17705,89,81.9888
20269,89,66.9854
23139,89,120.012
29200,89,70.3948
29219,89,148.595
50748,89,107.34
53496,89,199.397
54761,89,101.974
65992,89,205.413
494,90,7.48121
574,90,6.35844
1112,90,10.0646
4090,90,11.0982
4956,90,11.7282
5277,90,1.41127
8443,90,1.82563
9189,90,1.38352
9792,90,1.59642
11437,90,4.45061
12770,90,2.54205
21360,90,6.86774
23754,90,1.30837
28385,90,23.9595
33154,90,1.615
38419,90,1.34663
38693,90,2.3791
89,91,100.27
381,91,212.104
2697,91,155.001
3420,91,82.517
3785,91,124.471
5723,91,113.062
12578,91,87.3025
17705,91,81.9888
20269,91,66.9854
28464,91,65.6138
29010,91,437.29
29200,91,70.3948
38994,91,171.916
50748,91,107.34
53496,91,199.397
54761,91,101.974
65992,91,205.413
158,92,25.3858
1183,92,40.7673
